epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,27561.1,0.62723,2.72472,0.23808,0.38834,1.07501,0.97187,0.97749,0.99124,0.8998,0.87499,0.84474,0.86645,0.72679,0.52509,1.75534,0.04588,0.2632,0.96229,0.004159,0.004159,0.004159
61,27800.9,0.63208,2.76263,0.24046,0.39518,1.07454,0.97163,0.97749,0.99125,0.89998,0.87514,0.84583,0.86692,0.72723,0.52473,1.75192,0.04585,0.26282,0.96196,0.00406,0.00406,0.00406
62,28039,0.62546,2.70143,0.2384,0.3885,1.07176,0.97203,0.97732,0.99123,0.90023,0.87634,0.84733,0.86764,0.72818,0.52391,1.74768,0.04572,0.26229,0.96149,0.003961,0.003961,0.003961
63,28277.9,0.62555,2.68635,0.2369,0.39007,1.07463,0.97272,0.97701,0.99125,0.90037,0.87681,0.84835,0.86798,0.72864,0.52319,1.74589,0.0455,0.26193,0.96096,0.003862,0.003862,0.003862
64,28515.5,0.62605,2.67458,0.23774,0.38835,1.07499,0.97437,0.97579,0.99125,0.90065,0.87654,0.84774,0.86761,0.72943,0.52252,1.74386,0.04537,0.26148,0.96052,0.003763,0.003763,0.003763
65,28752.8,0.61708,2.64985,0.23406,0.38095,1.06824,0.97437,0.97579,0.99127,0.90117,0.87764,0.84835,0.86787,0.72995,0.52184,1.74199,0.04519,0.26095,0.95995,0.003664,0.003664,0.003664
66,28988.6,0.62009,2.65384,0.23336,0.38433,1.07044,0.97454,0.97571,0.9913,0.90133,0.87779,0.84759,0.86774,0.73025,0.52101,1.73799,0.04503,0.26055,0.95934,0.003565,0.003565,0.003565
67,29223.8,0.61664,2.62371,0.23297,0.38111,1.06692,0.97442,0.97572,0.99131,0.90196,0.87689,0.84835,0.86814,0.73073,0.52032,1.73446,0.04489,0.26011,0.95872,0.003466,0.003466,0.003466
68,29461.5,0.61722,2.63063,0.23178,0.38105,1.06844,0.9747,0.97579,0.99133,0.90189,0.87797,0.84996,0.86883,0.73133,0.51986,1.73019,0.04476,0.25957,0.95823,0.003367,0.003367,0.003367
69,29701.4,0.61522,2.58956,0.23092,0.37916,1.06705,0.9748,0.97594,0.99134,0.9023,0.87904,0.84924,0.86909,0.73254,0.51918,1.72686,0.04466,0.25927,0.95782,0.003268,0.003268,0.003268
